id,question,answer1,answer2,explanation,level
1,¿Es cierto que en el espacio no hay gravedad?,"No, es falso, en el espacio sí hay gravedad.","Sí, es cierto, en el espacio no hay gravedad.","¿Cuerpos flotando? No hay duda, en el espacio no hay gravedad ¿Cierto? ¡Error! 

La famosa Ley de la Gravitación Universal de sir Isaac Newton dice: 

""Dos masas cualesquiera (m1, m2) se atraen con una fuerza proporcional (F) al producto de sus masas e inversamente proporcional al cuadrado de las distancias (r) que las separan."" 

La fuerza gravitatoria se hace nula solo cuando la distancia entre dichas masas es infinita. No obstante el concepto de infinito es problemático cuando se traslada a la realidad, pues nunca seremos capaces de separar dos masas infinitamente, luego la fuerza gravitatoria nunca será 0. Se concluye así que el alcance de la gravedad es ilimitado, llega a todas partes; eso sí con una intensidad que varía según el cuadrado de la distancia. Como curiosidad: la gravedad a 400 Km de la superficie terrestre (donde se encuentra la ISS) es de tan solo un 10% menor que la que experimentamos habitualmente.",Medio
2,¿Qué satelite natural orbita arededor de la tierra?,La luna,El sol,"La luna ya que es el unico satelite natural de la tierea , y gira alrededor de su eje (rotación) en aproximadamente 27.32dias .
",Fácil
3,¿Qué país lanzó el Sputnik?,Unión Soviética,Estados Unidos,"La nave Sputnik 1 fue el primer intento no fallido de poner en órbita un satélite artificial alrededor de la Tierra. Se lanzó desde el Cosmódromo de Baikonur en Tyuratam, en Kazajistán, antes parte de la Unión Soviética",Fácil
4,¿Cómo se llamaba el primer animal que fue al espacio?,Laika.,Tota.,"Laika (en ruso Лайка, ‘ladradora’; Moscú, 1954 - Sputnik 2, Órbita baja terrestre, 3 de noviembre de 1957) fue una perra espacial soviética que se convirtió en el primer ser vivo terrestre en orbitar la Tierra. Lo hizo a bordo de la nave soviética Sputnik 2, el 3 de noviembre de 1957. Fuente Wikipedia.",Fácil
5,¿Plutón se considera un planeta?,No,Si,"Debido a su tamaño, pero continúa integrando en el Sistema Solar como planeta enano.",Fácil
6,¿En qué puesto está situado Neptuno en el Sistema Solar? ,En el octavo puesto.,En el quinto puesto.,Neptuno es el octavo planeta en distancia respecto al Sol y el más lejano del sistema solar.,Fácil
7,¿En qué puesto está situado Urano del Sistema Solar?,Séptimo puesto.,Décimo puesto.,"Urano es el séptimo planeta del Sistema Solar, el tercero en cuanto a mayor tamaño, de mayor a menor, y el cuarto más masivo. ",Fácil
8,¿Cuál es el planeta más grande que se conoce?,Jupiter,La luna,"El planeta mas grande que conocemos es júpiter, es un planeta 1400 veces mas grandes que la tierra , es trece veces mas grandes que todos los planetas del sistema solar junto.Si fuera mas grande se convertiría en una estrella incandescente como el sol.",Medio
9,¿Por qué un satélite no se cae sobre su planeta?,Porque tienen un punto de equilibrio.,Porque hay una línea invisible que lo sujeta.,"Se equilibran las fuerzas centrífuga, la que tiende a alejar a un cuerpo del centro de rotación, y fuerza centrípeta, la que tiende a arrastrarlo hacia el centro.",Medio.
10,¿Quién fue el primero en descubrir Urano?,Sir William Herschel,Vicente Gaos,"Sir William Herschel fue el primero en descubrir Urano, el 13 de marzo de 1781. Sin embargo, él pensó que se trataba de un nuevo cometa.",Alto
11,¿Cuándo se descubrió Neptuno?,23 de septiembre de 1846.,17 de octubre de 1845.,Porque lo descubrieron por cálculos matemáticos.,Medio
12,¿Cómo se denomina la trayectoria que hace un satélite alrededor de un planeta?,Órbita.,Asteroide.,La trayectoria que sigue un satélite alrededor de un planeta se denomina órbita,Fácil
13,¿Gira el Sol?,"Sí, el Sol gira, o rota.","No, el Sol nunca gira.","Como es un gas, no rota como un sólido. El Sol gira más rápido en su ecuador que en sus polos. Rota una vez cada 27 días en su ecuador, pero sólo una vez cada 31 días en sus polos. ",Medio
14,¿Qué planeta tiene las mismas similitudes a la tierra? ,Kepler-452b,Saturno,Se trata de Kepler-452b y es el primer planeta con un tamaño similar a la Tierra -sólo 60% más grande- y está ubicado en una zona habitable de una estrella muy similar a nuestro Sol.Este tiene el potencial de tener agua en estado liquido.,Alto
15,¿Cuál es el planeta con mayor masa del Sistema Solar?,Júpiter ,Saturno,"Porque Júpiter equivale a unas 2,48 veces la suma de todos los demás  planetas juntos",Fácil
